R1,R2
,
1,1
1001,2
1002,3
1003,4
1004,5
1051,6
1053,7
1054,8
1055,9
1056,10
1057,11
1058,12
1059,13
1060,14
1061,15
1062,16
2,17
2000,18
3,19
31,20
3101,21
3102,22
3103,23
3151,24
3152,25
3153,26
3154,27
3155,28
3156,29
3157,30
3158,31
32,32
3241,33
3251,34
3252,35
3254,36
3255,37
3256,38
3257,39
33,40
3351,41
3352,42
3353,43
3354,44
3355,45
3356,46
3357,47
3358,48
3359,49
3360,50
3361,51
34,52
3401,53
3402,54
3403,55
3404,56
3405,57
3451,58
3452,59
3453,60
3454,61
3455,62
3456,63
3457,64
3458,65
3459,66
3460,67
3461,68
3462,69
4,70
4011,71
4012,72
5,73
51,74
5111,75
5112,76
5113,77
5114,78
5116,79
5117,80
5119,81
5120,82
5122,83
5124,84
5154,85
5158,86
5162,87
5166,88
5170,89
53,90
5314,91
5315,92
5316,93
5334,94
5358,95
5362,96
5366,97
5370,98
5374,99
5378,100
5382,101
55,102
5512,103
5513,104
5515,105
5554,106
5558,107
5562,108
5566,109
5570,110
57,111
5711,112
5754,113
5758,114
5762,115
5766,116
5770,117
5774,118
59,119
5911,120
5913,121
5914,122
5915,123
5916,124
5954,125
5958,126
5962,127
5966,128
5970,129
5974,130
5978,131
6,132
64,133
6411,134
6412,135
6413,136
6414,137
6431,138
6432,139
6433,140
6434,141
6435,142
6436,143
6437,144
6438,145
6439,146
6440,147
65,148
6531,149
6532,150
6533,151
6534,152
6535,153
66,154
6611,155
6631,156
6632,157
6633,158
6634,159
6635,160
6636,161
7,162
71,163
7111,164
7131,165
7132,166
7133,167
7134,168
7135,169
7137,170
7138,171
7140,172
7141,173
7143,174
72,175
7211,176
7231,177
7232,178
7233,179
7235,180
73,181
7311,182
7312,183
7313,184
7314,185
7315,186
7316,187
7317,188
7318,189
7319,190
7320,191
7331,192
7332,193
7333,194
7334,195
7335,196
7336,197
7337,198
7338,199
7339,200
7340,201
8,202
81,203
811,204
8111,205
8115,206
8116,207
8117,208
8118,209
8119,210
812,211
8121,212
8125,213
8126,214
8127,215
8128,216
813,217
8135,218
8136,219
82,220
821,221
8211,222
8212,223
8215,224
8216,225
822,226
8221,227
8222,228
8225,229
8226,230
823,231
8231,232
8235,233
8236,234
8237,235
83,236
831,237
8311,238
8315,239
8316,240
8317,241
832,242
8325,243
8326,244
8327,245
833,246
8335,247
8336,248
8337,249
84,250
841,251
8415,252
8416,253
8417,254
842,255
8421,256
8425,257
8426,258
843,259
8435,260
8436,261
8437,262
9,263
91,264
9161,265
9162,266
9163,267
9171,268
9172,269
9173,270
9174,271
9175,272
9176,273
9177,274
9178,275
9179,276
9180,277
9181,278
9182,279
9183,280
9184,281
9185,282
9186,283
9187,284
9188,285
9189,286
9190,287
92,288
9261,289
9262,290
9263,291
9271,292
9272,293
9273,294
9274,295
9275,296
9276,297
9277,298
9278,299
9279,300
93,301
9361,302
9362,303
9363,304
9371,305
9372,306
9373,307
9374,308
9375,309
9376,310
9377,311
94,312
9461,313
9462,314
9463,315
9464,316
9471,317
9472,318
9473,319
9474,320
9475,321
9476,322
9477,323
9478,324
9479,325
95,326
9561,327
9562,328
9563,329
9564,330
9565,331
9571,332
9572,333
9573,334
9574,335
9575,336
9576,337
9577,338
96,339
9661,340
9662,341
9663,342
9671,343
9672,344
9673,345
9674,346
9675,347
9676,348
9677,349
9678,350
9679,351
97,352
9761,353
9762,354
9763,355
9764,356
9771,357
9772,358
9773,359
9774,360
9775,361
9776,362
9777,363
9778,364
9779,365
9780,366
10,367
10041,368
10042,369
10043,370
10044,371
10045,372
10046,373
11,374
11000,375
12,376
12051,377
12052,378
12053,379
12054,380
12060,381
12061,382
12062,383
12063,384
12064,385
12065,386
12066,387
12067,388
12068,389
12069,390
12070,391
12071,392
12072,393
12073,394
13,395
13003,396
13004,397
13071,398
13072,399
13073,400
13074,401
13075,402
13076,403
14,404
145,405
14511,406
14521,407
14522,408
14523,409
14524,410
146,411
14612,412
14625,413
14626,414
14627,415
14628,416
147,417
14713,418
14729,419
14730,420
15,421
15001,422
15002,423
15003,424
15081,425
15082,426
15083,427
15084,428
15085,429
15086,430
15087,431
15088,432
15089,433
15090,434
15091,435
16,436
16051,437
16052,438
16053,439
16054,440
16055,441
16056,442
16061,443
16062,444
16063,445
16064,446
16065,447
16066,448
16067,449
16068,450
16069,451
16070,452
16071,453
16072,454
16073,455
16074,456
16075,457
16076,458
16077,459
