Kreis / Kreisfreie Stadt,Fläche in km²,Bevölkerung insgesamt,Bevölkerung männlich,Bevölkerung weiblich,Einwohner je km²
,,,,,
,,,,,
"Flensburg, Stadt","56,74",   83 971,   41 322,   42 649,   1 480
"Kiel, Landeshauptstadt","118,65",   241 533,   116 951,   124 582,   2 036
"Lübeck, Hansestadt","214,21",   212 958,   101 734,   111 224,994
"Neumünster, Stadt","71,63",   77 058,   37 606,   39 452,   1 076
Dithmarschen,"   1 428,11",   132 665,   65 124,   67 541,93
Herzogtum Lauenburg,"   1 263,01",   189 043,   92 291,   96 752,150
Nordfriesland,"   2 082,76",   161 923,   78 853,   83 070,78
Ostholstein,"   1 392,65",   197 835,   95 235,   102 600,142
Pinneberg,"664,28",   301 223,   146 892,   154 331,453
Plön,"   1 083,18",   126 643,   61 181,   65 462,117
Rendsburg-Eckernförde,"   2 186,26",   268 075,   131 328,   136 747,123
Schleswig-Flensburg,"   2 071,35",   195 135,   96 268,   98 867,94
Segeberg,"   1 344,38",   263 202,   129 249,   133 953,196
Steinburg,"   1 056,12",   130 017,   63 915,   66 102,123
Stormarn,"766,33",   234 674,   114 044,   120 630,306
Kreisfreie Städte,"461,23",   615 520,   297 613,   317 907,   1 335
Kreise,"   15 338,43",  2 200 435,  1 074 380,  1 126 055,143
Insgesamt,"   15 799,66",  2 815 955,  1 371 993,  1 443 962,178
,,,,,
"Hamburg, Freie und Hansestadt","755,3",  1 746 342,   847 783,   898 559,   2 312
,,,,,
,,,,,
"Braunschweig, Stadt","192,17",   247 227,   121 376,   125 851,   1 287
"Salzgitter, Stadt","223,92",   98 197,   47 873,   50 324,439
"Wolfsburg, Stadt","204,06",   122 457,   60 349,   62 108,600
Gifhorn,"   1 562,83",   171 475,   85 335,   86 140,110
Göttingen,"   1 117,24",   248 249,   121 071,   127 178,222
Goslar,"965,29",   137 833,   67 603,   70 230,143
Helmstedt,674,   90 423,   44 586,   45 837,134
Northeim,"   1 267,06",   134 661,   65 926,   68 735,106
Osterode am Harz,"636,02",   74 367,   36 275,   38 092,117
Peine,"534,93",   130 147,   64 003,   66 144,243
Wolfenbüttel,"722,55",   119 900,   58 993,   60 907,166
,,,,,
Region Hannover,"   2 290,77",  1 119 526,   543 339,   576 187,489
Diepholz,"   1 987,94",   209 955,   104 085,   105 870,106
Hameln-Pyrmont,"796,14",   147 755,   70 939,   76 816,186
Hildesheim,"   1 205,95",   274 519,   132 832,   141 687,228
Holzminden,"692,58",   71 877,   35 354,   36 523,104
Nienburg (Weser),"   1 398,97",   119 848,   59 209,   60 639,86
Schaumburg,"675,57",   155 599,   75 626,   79 973,230
,,,,,
Celle,"   1 545,18",   175 552,   85 778,   89 774,114
Cuxhaven,"   2 057,77",   196 607,   96 090,   100 517,96
Harburg,"   1 244,97",   242 871,   118 324,   124 547,195
Lüchow-Dannenberg,"   1 220,65",   48 670,   23 949,   24 721,40
Lüneburg,"   1 323,50",   176 727,   85 766,   90 961,134
Osterholz,"650,79",   110 882,   54 355,   56 527,170
Rotenburg (Wümme),"   2 070,30",   161 308,   80 823,   80 485,78
Heidekreis,"   1 873,67",   136 251,   67 473,   68 778,73
