Bundesland,Sitze,Regierungspartei1,Regierungspartei2,Regierungspartei3,Regierungspartei4
Baden-Württemberg,6,Grüne,SPD,,
Bayern,6,CSU,,,
Berlin,4,SPD,CDU,,
Brandenburg,4,SPD,Linke,,
Bremen,3,SPD,Grüne,,
Hamburg,3,SPD,,,
Hessen,5,CDU,Grüne,,
Niedersachsen,6,SPD,Grüne,,
Nordrhein-Westfalen,6,SPD,Grüne,,
Mecklenburg-Vorpommern,3,SPD,CDU,,
Rheinland-Pfalz,4,SPD,Grüne,,
Saarland,3,CDU,SPD,,
Sachsen,4,CDU,SPD,,
Sachsen-Anhalt,4,CDU,SPD,,
Schleswig-Holstein,4,SPD,Grüne,SSW,
Thüringen,4,Linke,SPD,Grüne,
